time_id,hour,minute,time_am_or_pm
1079,6,58,PM
1080,6,59,PM
1081,7,0,PM
1082,7,1,PM
1083,7,2,PM
1084,7,3,PM
1085,7,4,PM
1086,7,5,PM
1087,7,6,PM
1088,7,7,PM
1089,7,8,PM
1090,7,9,PM
1091,7,10,PM
1092,7,11,PM
1093,7,12,PM
1094,7,13,PM
1095,7,14,PM
1096,7,15,PM
1097,7,16,PM
1098,7,17,PM
1099,7,18,PM
1100,7,19,PM
1101,7,20,PM
1102,7,21,PM
1103,7,22,PM
1104,7,23,PM
1105,7,24,PM
1106,7,25,PM
1107,7,26,PM
1108,7,27,PM
1109,7,28,PM
1110,7,29,PM
1111,7,30,PM
1112,7,31,PM
1113,7,32,PM
1114,7,33,PM
1115,7,34,PM
1116,7,35,PM
1117,7,36,PM
1118,7,37,PM
1119,7,38,PM
1120,7,39,PM
1121,7,40,PM
1122,7,41,PM
1123,7,42,PM
1124,7,43,PM
1125,7,44,PM
1126,7,45,PM
1127,7,46,PM
1128,7,47,PM
1129,7,48,PM
1130,7,49,PM
1131,7,50,PM
1132,7,51,PM
1133,7,52,PM
1134,7,53,PM
1135,7,54,PM
1136,7,55,PM
1137,7,56,PM
1138,7,57,PM
1139,7,58,PM
1140,7,59,PM
1141,8,0,PM
1142,8,1,PM
1143,8,2,PM
1144,8,3,PM
1145,8,4,PM
1146,8,5,PM
1147,8,6,PM
1148,8,7,PM
1149,8,8,PM
1150,8,9,PM
1151,8,10,PM
1152,8,11,PM
1153,8,12,PM
1154,8,13,PM
1155,8,14,PM
1156,8,15,PM
1157,8,16,PM
1158,8,17,PM
1159,8,18,PM
1160,8,19,PM
1161,8,20,PM
1162,8,21,PM
1163,8,22,PM
1164,8,23,PM
1165,8,24,PM
1166,8,25,PM
1167,8,26,PM
1168,8,27,PM
1169,8,28,PM
1170,8,29,PM
1171,8,30,PM
1172,8,31,PM
1173,8,32,PM
1174,8,33,PM
1175,8,34,PM
1176,8,35,PM
1177,8,36,PM
1178,8,37,PM
1179,8,38,PM
1180,8,39,PM
1181,8,40,PM
1182,8,41,PM
1183,8,42,PM
1184,8,43,PM
1185,8,44,PM
1186,8,45,PM
1187,8,46,PM
1188,8,47,PM
1189,8,48,PM
1190,8,49,PM
1191,8,50,PM
1192,8,51,PM
1193,8,52,PM
1194,8,53,PM
1195,8,54,PM
1196,8,55,PM
1197,8,56,PM
1198,8,57,PM
1199,8,58,PM
1200,8,59,PM
1201,9,0,PM
1202,9,1,PM
1203,9,2,PM
1204,9,3,PM
1205,9,4,PM
1206,9,5,PM
1207,9,6,PM
1208,9,7,PM
1209,9,8,PM
1210,9,9,PM
1211,9,10,PM
1212,9,11,PM
1213,9,12,PM
1214,9,13,PM
1215,9,14,PM
1216,9,15,PM
1217,9,16,PM
1218,9,17,PM
1219,9,18,PM
1220,9,19,PM
1221,9,20,PM
1222,9,21,PM
1223,9,22,PM
1224,9,23,PM
1225,9,24,PM
1226,9,25,PM
1227,9,26,PM
1228,9,27,PM
1229,9,28,PM
1230,9,29,PM
1231,9,30,PM
1232,9,31,PM
1233,9,32,PM
1234,9,33,PM
1235,9,34,PM
1236,9,35,PM
1237,9,36,PM
1238,9,37,PM
1239,9,38,PM
1240,9,39,PM
1241,9,40,PM
1242,9,41,PM
1243,9,42,PM
1244,9,43,PM
1245,9,44,PM
1246,9,45,PM
1247,9,46,PM
1248,9,47,PM
1249,9,48,PM
1250,9,49,PM
1251,9,50,PM
1252,9,51,PM
1253,9,52,PM
1254,9,53,PM
1255,9,54,PM
1256,9,55,PM
1257,9,56,PM
1258,9,57,PM
1259,9,58,PM
1260,9,59,PM
1261,10,0,PM
1262,10,1,PM
1263,10,2,PM
1264,10,3,PM
1265,10,4,PM
1266,10,5,PM
1267,10,6,PM
1268,10,7,PM
1269,10,8,PM
1270,10,9,PM
1271,10,10,PM
1272,10,11,PM
1273,10,12,PM
1274,10,13,PM
1275,10,14,PM
1276,10,15,PM
1277,10,16,PM
1278,10,17,PM
1279,10,18,PM
1280,10,19,PM
1281,10,20,PM
1282,10,21,PM
1283,10,22,PM
1284,10,23,PM
1285,10,24,PM
1286,10,25,PM
1287,10,26,PM
1288,10,27,PM
1289,10,28,PM
1290,10,29,PM
1291,10,30,PM
1292,10,31,PM
1293,10,32,PM
1294,10,33,PM
1295,10,34,PM
1296,10,35,PM
1297,10,36,PM
1298,10,37,PM
1299,10,38,PM
1300,10,39,PM
1301,10,40,PM
1302,10,41,PM
1303,10,42,PM
1304,10,43,PM
1305,10,44,PM
1306,10,45,PM
1307,10,46,PM
1308,10,47,PM
1309,10,48,PM
1310,10,49,PM
1311,10,50,PM
1312,10,51,PM
1313,10,52,PM
1314,10,53,PM
1315,10,54,PM
1316,10,55,PM
1317,10,56,PM
1318,10,57,PM
1319,10,58,PM
1320,10,59,PM
1321,11,0,PM
1322,11,1,PM
1323,11,2,PM
1324,11,3,PM
1325,11,4,PM
1326,11,5,PM
1327,11,6,PM
1328,11,7,PM
1329,11,8,PM
1330,11,9,PM
1331,11,10,PM
1332,11,11,PM
1333,11,12,PM
1334,11,13,PM
1335,11,14,PM
1336,11,15,PM
1337,11,16,PM
1338,11,17,PM
1339,11,18,PM
1340,11,19,PM
1341,11,20,PM
1342,11,21,PM
1343,11,22,PM
1344,11,23,PM
1345,11,24,PM
1346,11,25,PM
1347,11,26,PM
1348,11,27,PM
1349,11,28,PM
1350,11,29,PM
1351,11,30,PM
1352,11,31,PM
1353,11,32,PM
1354,11,33,PM
1355,11,34,PM
1356,11,35,PM
1357,11,36,PM
1358,11,37,PM
1359,11,38,PM
1360,11,39,PM
1361,11,40,PM
1362,11,41,PM
1363,11,42,PM
1364,11,43,PM
1365,11,44,PM
1366,11,45,PM
1367,11,46,PM
1368,11,47,PM
1369,11,48,PM
1370,11,49,PM
1371,11,50,PM
1372,11,51,PM
1373,11,52,PM
1374,11,53,PM
1375,11,54,PM
1376,11,55,PM
1377,11,56,PM
1378,11,57,PM
1379,11,58,PM
1380,11,59,PM
1381,12,0,PM
1382,12,1,PM
1383,12,2,PM
1384,12,3,PM
1385,12,4,PM
1386,12,5,PM
1387,12,6,PM
1388,12,7,PM
1389,12,8,PM
1390,12,9,PM
1391,12,10,PM
1392,12,11,PM
1393,12,12,PM
1394,12,13,PM
1395,12,14,PM
1396,12,15,PM
1397,12,16,PM
1398,12,17,PM
1399,12,18,PM
1400,12,19,PM
1401,12,20,PM
1402,12,21,PM
1403,12,22,PM
1404,12,23,PM
1405,12,24,PM
1406,12,25,PM
1407,12,26,PM
1408,12,27,PM
1409,12,28,PM
1410,12,29,PM
1411,12,30,PM
1412,12,31,PM
1413,12,32,PM
1414,12,33,PM
1415,12,34,PM
1416,12,35,PM
1417,12,36,PM
1418,12,37,PM
1419,12,38,PM
1420,12,39,PM
1421,12,40,PM
1422,12,41,PM
1423,12,42,PM
1424,12,43,PM
1425,12,44,PM
